delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
-207.0,69,0,,,,69a1,22247497585.70709,500000.0,0.0,269541722624.7539,500000.0,0.5
-2800.0,70,0,,,,70a1,55902420500.14697,500000.0,0.0,271653878901.80426,500000.0,0.5
-34992.0,72,0,,,,72a1,88534565613.56847,500000.0,0.0,275789147532.09924,500000.0,0.5
-5329.0,73,0,,,,73a1,64217695447.69816,500000.0,0.0,277813901407.8424,500000.0,0.5
-1875.0,75,0,,,,75a1,50720935250.898705,500000.0,0.0,281781503168.2143,500000.0,0.5
-234375.0,75,0,,,,75b1,113107881048.55562,500000.0,0.0,281781503168.2143,500000.0,0.5
-6075.0,75,0,,,,75c1,65910592261.18346,500000.0,0.0,281781503168.2143,500000.0,0.5
-4864.0,76,0,,,,76a1,63037970630.92982,500000.0,0.0,283725800846.46045,500000.0,0.5
-539.0,77,1,,,,77a1,34612913203.61255,500000.0,0.0,285644682140.14667,500000.0,0.5
-156590819.0,77,0,,,,77b1,197152535007.15335,500000.0,0.0,285644682140.14667,500000.0,0.5
-41503.0,77,0,,,,77c1,90739496551.9777,500000.0,0.0,285644682140.14667,500000.0,0.5
-207028224.0,78,0,,,,78a1,200760340989.46384,500000.0,0.0,287538802983.63367,500000.0,0.5
79.0,79,1,,,,79a1,9801013110.648642,500000.0,0.0,289408794242.34393,500000.0,0.5
6400.0,80,0,,,,80a1,66583986393.20333,500000.0,0.0,291255262974.17773,500000.0,0.5
-6400.0,80,0,,,,80b1,66583986393.20333,500000.0,0.0,291255262974.17773,500000.0,0.5
164.0,82,1,,,,82a1,19238797511.102768,500000.0,0.0,294879949076.98193,500000.0,0.5
-83.0,83,1,,,,83a1,10439220012.105076,500000.0,0.0,296659271816.0348,500000.0,0.5
-21168.0,84,0,,,,84a1,82040066511.6563,500000.0,0.0,298417284788.2419,500000.0,0.5
-2352.0,84,0,,,,84b1,53649589407.29496,500000.0,0.0,298417284788.2419,500000.0,0.5
425.0,85,0,,,,85a1,31542527502.25023,500000.0,0.0,300154492384.65656,500000.0,0.5
-2816.0,88,1,,,,88a1,55976044989.72527,500000.0,0.0,305246066212.52026,500000.0,0.5
-89.0,89,1,,,,89a1,11341055446.521502,500000.0,0.0,306904754241.0512,500000.0,0.5
-7921.0,89,0,,,,89b1,69339008591.20087,500000.0,0.0,306904754241.0512,500000.0,0.5
-13500.0,90,0,,,,90a1,76228160479.2719,500000.0,0.0,308544909054.6519,500000.0,0.5
-8640.0,90,0,,,,90b1,70461656727.29556,500000.0,0.0,308544909054.6519,500000.0,0.5
-1574640.0,90,0,,,,90c1,137720691317.1488,500000.0,0.0,308544909054.6519,500000.0,0.5
-91.0,91,1,,,,91a1,11628201996.11922,500000.0,0.0,310166940239.77637,500000.0,0.5
-91.0,91,1,,,,91b1,11628201996.11922,500000.0,0.0,310166940239.77637,500000.0,0.5
-368.0,92,0,,,,92a1,29681813927.807358,500000.0,0.0,311771243953.2702,500000.0,0.5
-368.0,92,1,,,,92b1,29681813927.807358,500000.0,0.0,311771243953.2702,500000.0,0.5
-188.0,94,0,,,,94a1,21003498597.915405,500000.0,0.0,314928189898.26416,500000.0,0.5
576.0,96,0,,,,96a1,35470769575.89591,500000.0,0.0,318018668860.6155,500000.0,0.5
576.0,96,0,,,,96b1,35470769575.89591,500000.0,0.0,318018668860.6155,500000.0,0.5
-3294172.0,98,0,,,,98a1,147258091898.90976,500000.0,0.0,321045422044.38464,500000.0,0.5
297.0,99,1,,,,99a1,26912173753.344055,500000.0,0.0,322535712292.9945,500000.0,0.5
216513.0,99,0,,,,99b1,112083605066.4281,500000.0,0.0,322535712292.9945,500000.0,0.5
216513.0,99,0,,,,99c1,112083605066.4281,500000.0,0.0,322535712292.9945,500000.0,0.5
-8019.0,99,0,,,,99d1,69497889409.88608,500000.0,0.0,322535712292.9945,500000.0,0.5
1250000.0,100,0,,,,100a1,134737435942.83658,500000.0,0.0,324011024496.7305,500000.0,0.5
101.0,101,1,,,,101a1,12975365074.952646,500000.0,0.0,325471656733.5902,500000.0,0.5
612.0,102,1,,,,102a1,36254104131.40444,500000.0,0.0,326917898271.0942,500000.0,0.5
352512.0,102,0,,,,102b1,118381771405.45824,500000.0,0.0,326917898271.0942,500000.0,0.5
793152.0,102,0,,,,102c1,128859851786.58876,500000.0,0.0,326917898271.0942,500000.0,0.5
-26624.0,104,0,,,,104a1,85003156420.48343,500000.0,0.0,329768324312.1499,500000.0,0.5
105.0,105,0,,,,105a1,13477217006.647055,500000.0,0.0,331173046310.79474,500000.0,0.5
-424.0,106,0,,,,106a1,31512089177.310646,500000.0,0.0,332564453208.64044,500000.0,0.5
-848.0,106,1,,,,106b1,40468287538.92605,500000.0,0.0,332564453208.64044,500000.0,0.5
-889192448.0,106,0,,,,106c1,219592254771.23416,500000.0,0.0,332564453208.64044,500000.0,0.5
-1696.0,106,0,,,,106d1,49424485900.54146,500000.0,0.0,332564453208.64044,500000.0,0.5
-6912.0,108,0,,,,108a1,67578404851.30741,500000.0,0.0,335308314941.0898,500000.0,0.5
-109.0,109,0,,,,109a1,13960303662.520323,500000.0,0.0,336661249206.3843,500000.0,0.5
-1100000.0,110,0,,,,110a1,133085692900.97394,500000.0,0.0,338001827735.073,500000.0,0.5
-440.0,110,0,,,,110b1,31990701780.86722,500000.0,0.0,338001827735.073,500000.0,0.5
-851840.0,110,0,,,,110c1,129782206817.24864,500000.0,0.0,338001827735.073,500000.0,0.5
-7168.0,112,1,,,,112a1,68048313471.40144,500000.0,0.0,340646806116.7581,500000.0,0.5
-1792.0,112,0,,,,112b1,50135916748.17065,500000.0,0.0,340646806116.7581,500000.0,0.5
-114688.0,112,0,,,,112c1,103873106917.86307,500000.0,0.0,340646806116.7581,500000.0,0.5
-12769.0,113,0,,,,113a1,75508853600.05568,500000.0,0.0,341951635407.4593,500000.0,0.5
32832.0,114,0,,,,114a1,87711289564.24104,500000.0,0.0,343244968255.4509,500000.0,0.5
18468.0,114,0,,,,114b1,80276973222.14076,500000.0,0.0,343244968255.4509,500000.0,0.5
