delta,conductor,rank,regulator,real_period,torsion_order,label
-155.0,155,1,,,,155c1
1872.0,156,1,,,,156a1
151632.0,156,0,,,,156b1
20224.0,158,1,,,,158a1
316.0,158,1,,,,158b1
82837504.0,158,0,,,,158c1
31554496.0,158,0,,,,158d1
-316.0,158,0,,,,158e1
320.0,160,1,,,,160a1
320.0,160,0,,,,160b1
25921.0,161,0,,,,161a1
-2916.0,162,1,,,,162a1
-648.0,162,0,,,,162b1
-1458.0,162,0,,,,162c1
-5184.0,162,0,,,,162d1
-163.0,163,1,,,,163a1
-1328.0,166,1,,,,166a1
336.0,168,0,,,,168a1
-1037232.0,168,0,,,,168b1
6800.0,170,1,,,,170a1
31443200.0,170,0,,,,170b1
-4456448000.0,170,0,,,,170c1
-17000.0,170,0,,,,170d1
-170.0,170,0,,,,170e1
41553.0,171,0,,,,171a1
-13851.0,171,1,,,,171b1
-817887699.0,171,0,,,,171c1
-124659.0,171,0,,,,171d1
-11008.0,172,1,,,,172a1
-621261297432576.0,174,0,,,,174a1
-8118144.0,174,0,,,,174b1
-1566.0,174,0,,,,174c1
-1392.0,174,0,,,,174d1
-712704.0,174,0,,,,174e1
-875.0,175,1,,,,175a1
-546875.0,175,1,,,,175b1
-13671875.0,175,0,,,,175c1
-2816.0,176,0,,,,176a1
-45056.0,176,0,,,,176b1
-2816.0,176,1,,,,176c1
-364544.0,178,0,,,,178a1
1458176.0,178,0,,,,178b1
-179.0,179,0,,,,179a1
58320.0,180,0,,,,180a1
-60782804992.0,182,0,,,,182a1
-46592.0,182,0,,,,182b1
-21926008832.0,182,0,,,,182c1
-8918.0,182,0,,,,182d1
-332678528.0,182,0,,,,182e1
-368.0,184,1,,,,184a1
-368.0,184,1,,,,184b1
-23552.0,184,0,,,,184c1
-368.0,184,0,,,,184d1
23125.0,185,1,,,,185a1
925.0,185,1,,,,185b1
185.0,185,1,,,,185c1
-10983114.0,186,0,,,,186a1
-241056.0,186,0,,,,186b1
-11904.0,186,0,,,,186c1
-384659.0,187,0,,,,187a1
-22627.0,187,0,,,,187b1
1701.0,189,1,,,,189a1
189.0,189,1,,,,189b1
9261.0,189,0,,,,189c1
1240029.0,189,0,,,,189d1
-972800.0,190,1,,,,190a1
-950.0,190,1,,,,190b1
-2375000.0,190,0,,,,190c1
192.0,192,1,,,,192a1
192.0,192,0,,,,192b1
-3072.0,192,0,,,,192c1
-3072.0,192,0,,,,192d1
388.0,194,0,,,,194a1
5265.0,195,0,,,,195a1
-195.0,195,0,,,,195b1
-27421875.0,195,0,,,,195c1
-24024195.0,195,0,,,,195d1
784.0,196,1,,,,196a1
92236816.0,196,0,,,,196b1
197.0,197,1,,,,197a1
384912.0,198,1,,,,198a1
866052.0,198,0,,,,198b1
1216512.0,198,0,,,,198c1
574992.0,198,0,,,,198d1
1995383808.0,198,0,,,,198e1
-800000000.0,200,0,,,,200a1
2000.0,200,1,,,,200b1
1250000.0,200,0,,,,200c1
31250000.0,200,0,,,,200d1
-51200.0,200,0,,,,200e1
-603.0,201,1,,,,201a1
-1809.0,201,1,,,,201b1
-16281.0,201,1,,,,201c1
-13238272.0,202,0,,,,202a1
-487403.0,203,0,,,,203a1
-1421.0,203,1,,,,203b1
-5887.0,203,0,,,,203c1
-770943744.0,204,0,,,,204a1
-13056.0,204,0,,,,204b1
1025.0,205,1,,,,205a1
1025.0,205,0,,,,205b1
1025.0,205,0,,,,205c1
-412.0,206,0,,,,206a1
-150903.0,207,1,,,,207a1
-106496.0,208,1,,,,208a1
-26624.0,208,1,,,,208b1
-43264.0,208,0,,,,208c1
-6815744.0,208,0,,,,208d1
-480491.0,209,1,,,,209a1
3870720.0,210,0,,,,210a1
6048000.0,210,0,,,,210b1
-188160.0,210,0,,,,210c1
1680.0,210,1,,,,210d1
-928972800.0,210,0,,,,210e1
-13568.0,212,1,,,,212a1
-719104.0,212,0,,,,212b1
-639.0,213,0,,,,213a1
-13696.0,214,1,,,,214a1
-214.0,214,1,,,,214b1
-109568.0,214,1,,,,214c1
-6848.0,214,0,,,,214d1
-26875.0,215,1,,,,215a1
-62208.0,216,1,,,,216a1
-497664.0,216,0,,,,216b1
-362797056.0,216,0,,,,216c1
-45349632.0,216,0,,,,216d1
-6976.0,218,1,,,,218a1
-219.0,219,1,,,,219a1
-1971.0,219,1,,,,219b1
4310577.0,219,1,,,,219c1
242000.0,220,1,,,,220a1
9680.0,220,0,,,,220b1
82055753.0,221,0,,,,221a1
2873.0,221,0,,,,221b1
-7992.0,222,0,,,,222a1
-13108878.0,222,0,,,,222b1
-255744.0,222,0,,,,222c1
-909312.0,222,0,,,,222d1
-6109179936768.0,222,0,,,,222e1
-448.0,224,1,,,,224a1
-448.0,224,0,,,,224b1
-675.0,225,1,,,,225a1
-10546875.0,225,0,,,,225b1
-170859375.0,225,0,,,,225c1
-4428675.0,225,0,,,,225d1
-1366875.0,225,1,,,,225e1
7232.0,226,1,,,,226a1
-155952.0,228,0,,,,228a1
-43776.0,228,1,,,,228b1
229.0,229,1,,,,229a1
1617.0,231,0,,,,231a1
-29696.0,232,1,,,,232a1
-29696.0,232,0,,,,232b1
-54289.0,233,0,,,,233a1
-1213056.0,234,0,,,,234a1
-4094064.0,234,0,,,,234b1
-5616.0,234,1,,,,234c1
-150923575296.0,234,0,,,,234d1
-18954.0,234,0,,,,234e1
5875.0,235,1,,,,235a1
91796875.0,235,0,,,,235b1
-5875.0,235,0,,,,235c1
-944.0,236,1,,,,236a1
-944.0,236,0,,,,236b1
13647872.0,238,1,,,,238a1
-476.0,238,1,,,,238b1
13328.0,238,0,,,,238c1
3332.0,238,0,,,,238d1
-2071552.0,238,0,,,,238e1
720.0,240,0,,,,240a1
-8847360.0,240,0,,,,240b1
-3840.0,240,1,,,,240c1
-61440.0,240,0,,,,240d1
-1936.0,242,1,,,,242a1
-3429742096.0,242,0,,,,242b1
-243.0,243,1,,,,243a1
-2187.0,243,0,,,,243b1
-15616.0,244,1,,,,244a1
-42875.0,245,1,,,,245a1
-5044200875.0,245,0,,,,245b1
-4117715.0,245,1,,,,245c1
-717336.0,246,0,,,,246a1
-334302806016.0,246,0,,,,246b1
356992303104.0,246,0,,,,246c1
212544.0,246,1,,,,246d1
5904.0,246,0,,,,246e1
-2214.0,246,0,,,,246f1
-251904.0,246,0,,,,246g1
